求;キュウ,グ;もと.める;request, want, wish for, require, demand
球;キュウ;たま;ball, sphere
給;キュウ;たま.う,たも.う,-たま.え;salary, wage, gift, allow, grant, bestow on
居;キョ,コ;い.る,-い,お.る;reside, to be, exist, live with
許;キョ;ゆる.す,もと;permit, approve
供;キョウ,ク,クウ,グ;そな.える,とも,-ども;submit, offer, present, serve (meal), accompany
共;キョウ;とも,とも.に,-ども;together, both, neither, all, and, alike, with
恐;キョウ;おそ.れる,おそ.る,おそ.ろしい,こわ.い,こわ.がる;fear, dread, awe
局;キョク;つぼね;bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment
曲;キョク;ま.がる,ま.げる,くま;bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean
勤;キン,ゴン;つと.める,-づと.め,つと.まる,いそ.しむ;diligence, become employed, serve
苦;ク;くる.しい,-ぐる.しい,くる.しむ,くる.しめる,にが.い,にが.る;suffering, trial, worry, hardship, feel bitter, scowl
具;グ;そな.える,つぶさ.に;tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture
偶;グウ;たま;accidentally, even number, couple, man & wife, same kind
靴;カ;くつ;shoes
君;クン;きみ,-ぎみ;old boy, name-suffix
係;ケイ;かか.る,かかり,-がかり,かか.わる;person in charge, connection, duty, concern oneself
形;ケイ,ギョウ;かた,-がた,かたち,なり;shape, form, style
景;ケイ;;scenery, view
経;ケイ,キョウ;へ.る,た.つ,たていと,はか.る,のり;sutra, longitude, pass thru, expire, warp
警;ケイ;いまし.める;admonish, commandment
迎;ゲイ;むか.える;welcome, meet, greet
欠;ケツ,ケン;か.ける,か.く;lack, gap, fail, yawning radical (no. 76)
決;ケツ;き.める,-ぎ.め,き.まる,さ.く;decide, fix, agree upon, appoint
件;ケン;くだん;affair, case, matter, item
権;ケン,ゴン;おもり,かり,はか.る;authority, power, rights
